"","JULDAY","TIME","D0cm","D1.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",15,0,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,-11.0680141448975,7.7416672706604
"2",15,60,-13.383978843689,-12.6532716751099,-11.3208417892456,-11.1079607009888,-11.0727634429932,-11.0683393478394,-11.0680141448975,-11.0679092407227,-11.0373992919922,7.7416672706604
"3",15,120,-13.5621099472046,-12.9219884872437,-11.5825004577637,-11.2176418304443,-11.1020364761353,-11.0729398727417,-11.0681629180908,-11.0675964355469,-11.0069351196289,7.7416672706604
"4",15,180,-13.6663379669189,-13.0801525115967,-11.7749166488647,-11.3405284881592,-11.1535711288452,-11.0867166519165,-11.0689725875854,-11.0670871734619,-10.9766178131104,7.7416672706604
"5",15,240,-13.8245191574097,-13.1949071884155,-11.9275846481323,-11.4574117660522,-11.2165231704712,-11.1104402542114,-11.071120262146,-11.06640625,-10.9464473724365,7.7416672706604
"6",15,300,-13.8638076782227,-13.2984781265259,-12.0550193786621,-11.564733505249,-11.2838888168335,-11.1423501968384,-11.0751485824585,-11.0655870437622,-10.9164209365845,7.7416672706604
"7",15,360,-13.9185180664062,-13.3823099136353,-12.1646661758423,-11.6627244949341,-11.3520708084106,-11.1801271438599,-11.081374168396,-11.0646696090698,-10.8865385055542,7.7416672706604
"8",15,420,-14.1175966262817,-13.4356317520142,-12.2607641220093,-11.7523374557495,-11.419261932373,-11.2217292785645,-11.0899085998535,-11.0636949539185,-10.8568000793457,7.7416672706604
"9",15,480,-13.7083396911621,-13.3417778015137,-12.3288526535034,-11.8326358795166,-11.4843626022339,-11.2655658721924,-11.1007118225098,-11.0627183914185,-10.8272018432617,7.7416672706604
"10",15,540,-11.9888391494751,-12.3802146911621,-12.2700319290161,-11.8854169845581,-11.5437669754028,-11.3101396560669,-11.1136379241943,-11.0617542266846,-10.7977457046509,7.7416672706604
"11",15,600,-9.30300235748291,-10.5940494537354,-11.9379138946533,-11.854287147522,-11.5825395584106,-11.3521928787231,-11.1283988952637,-11.0608501434326,-10.7684288024902,7.7416672706604
"12",15,660,-6.53218841552734,-8.50045871734619,-11.3368492126465,-11.6927309036255,-11.575966835022,-11.3841724395752,-11.144323348999,-11.0600328445435,-10.7392539978027,7.7416672706604
"13",15,720,-4.39936256408691,-6.66034603118896,-10.5783605575562,-11.3985233306885,-11.5049695968628,-11.3954095840454,-11.1600952148438,-11.0593109130859,-10.7102203369141,7.7416672706604
"14",15,780,-3.48377823829651,-5.5820198059082,-9.82989311218262,-11.0136995315552,-11.3666830062866,-11.3763551712036,-11.1737508773804,-11.0586605072021,-10.6813259124756,7.7416672706604
"15",15,840,-4.18108606338501,-5.54930353164673,-9.26826667785645,-10.6120347976685,-11.1772346496582,-11.3228006362915,-11.1829967498779,-11.058030128479,-10.652569770813,7.7416672706604
"16",15,900,-6.07026195526123,-6.60980129241943,-9.0259485244751,-10.2776365280151,-10.9682750701904,-11.2383317947388,-11.1857824325562,-11.0573225021362,-10.6239500045776,7.7416672706604
"17",15,960,-9.1480073928833,-8.39053058624268,-9.15179252624512,-10.0805826187134,-10.7785911560059,-11.1343221664429,-11.180869102478,-11.05641746521,-10.5954685211182,7.7416672706604
"18",15,1020,-10.4924621582031,-9.89984798431396,-9.53122901916504,-10.0484228134155,-10.6425437927246,-11.0273504257202,-11.1682662963867,-11.0551862716675,-10.5671224594116,7.7416672706604
"19",15,1080,-10.569221496582,-10.7616271972656,-9.92780303955078,-10.1318340301514,-10.5728960037231,-10.9338979721069,-11.1492834091187,-11.0535125732422,-10.5389108657837,7.7416672706604
"20",15,1140,-11.7584161758423,-11.1946105957031,-10.2591247558594,-10.2635660171509,-10.5578031539917,-10.8638896942139,-11.1261215209961,-11.0513181686401,-10.5108308792114,7.7416672706604
"21",15,1200,-12.2003335952759,-11.601616859436,-10.5421009063721,-10.40940284729,-10.5790739059448,-10.8193635940552,-11.1011590957642,-11.0485639572144,-10.4828786849976,7.7416672706604
"22",15,1260,-12.5472936630249,-11.9421262741089,-10.7915201187134,-10.5573053359985,-10.6234884262085,-10.7977867126465,-11.0764608383179,-11.0452527999878,-10.4550542831421,7.7416672706604
"23",15,1320,-12.701397895813,-12.241678237915,-11.0139665603638,-10.7024707794189,-10.6827306747437,-10.7951555252075,-11.053581237793,-11.0414152145386,-10.4273519515991,7.7416672706604
"24",15,1380,-13.0817995071411,-12.4664430618286,-11.2137689590454,-10.8425617218018,-10.751407623291,-10.8074817657471,-11.0335865020752,-11.0371112823486,-10.399772644043,7.7416672706604
"25",46,0,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,-8.39849758148193,7.7416672706604
"26",46,60,-11.2108125686646,-10.3305959701538,-8.71279621124268,-8.44825077056885,-8.40442180633545,-8.39890384674072,-8.39849758148193,-8.39840698242188,-8.37221622467041,7.7416672706604
"27",46,120,-11.3986444473267,-10.638331413269,-9.033203125,-8.583815574646,-8.44074153900146,-8.40462493896484,-8.39868545532227,-8.39813804626465,-8.34606456756592,7.7416672706604
"28",46,180,-11.5069246292114,-10.8095073699951,-9.26413917541504,-8.73398303985596,-8.50420570373535,-8.42167568206787,-8.39970111846924,-8.39770412445068,-8.32004070281982,7.7416672706604
"29",46,240,-11.6281261444092,-10.9346199035645,-9.44393253326416,-8.8750638961792,-8.5810661315918,-8.45086097717285,-8.40237426757812,-8.39713287353516,-8.29413986206055,7.7416672706604
"30",46,300,-11.6919326782227,-11.0387573242188,-9.59171199798584,-9.00304794311523,-8.66258430480957,-8.48986625671387,-8.40736103057861,-8.39646053314209,-8.26836395263672,7.7416672706604
"31",46,360,-11.7403497695923,-11.1238384246826,-9.71708011627197,-9.11859798431396,-8.74436664581299,-8.53573894500732,-8.41502857208252,-8.39573669433594,-8.24271392822266,7.7416672706604
"32",46,420,-11.6891822814941,-11.1769495010376,-9.82313632965088,-9.22292900085449,-8.82426834106445,-8.58591556549072,-8.4254903793335,-8.39501190185547,-8.21718502044678,7.7416672706604
"33",46,480,-10.4506864547729,-10.5104274749756,-9.8410005569458,-9.30816650390625,-8.90021896362305,-8.63836574554443,-8.43867492675781,-8.39433193206787,-8.19177913665771,7.7416672706604
"34",46,540,-7.57375478744507,-9.04173469543457,-9.61385536193848,-9.32537078857422,-8.96098136901855,-8.69028186798096,-8.45435333251953,-8.39374256134033,-8.16649532318115,7.7416672706604
"35",46,600,-5.24695920944214,-6.93992519378662,-9.10366535186768,-9.2216329574585,-8.9834156036377,-8.73514366149902,-8.47197151184082,-8.39328289031982,-8.14133262634277,7.7416672706604
"36",46,660,-2.74318599700928,-4.80514860153198,-8.36876201629639,-8.97628021240234,-8.94495105743408,-8.76266384124756,-8.49038410186768,-8.39297389984131,-8.11629295349121,7.7416672706604
"37",46,720,-0.642426908016205,-3.09407949447632,-7.53350639343262,-8.60764312744141,-8.83433246612549,-8.76193428039551,-8.50773620605469,-8.39281177520752,-8.09137535095215,7.7416672706604
"38",46,780,0.0834520384669304,-2.07647800445557,-6.74920845031738,-8.166672706604,-8.65635585784912,-8.72527885437012,-8.52165222167969,-8.39275550842285,-8.06657886505127,7.7416672706604
"39",46,840,-0.383378922939301,-2.04274725914001,-6.15973854064941,-7.72310161590576,-8.43114185333252,-8.65112113952637,-8.52966594696045,-8.39272022247314,-8.04190158843994,7.7416672706604
"40",46,900,-2.26183009147644,-2.9761700630188,-5.88049650192261,-7.35250473022461,-8.19026756286621,-8.5450963973999,-8.52974987030029,-8.3925895690918,-8.01734256744385,7.7416672706604
"41",46,960,-4.84267616271973,-4.69872999191284,-5.95867824554443,-7.11850309371948,-7.97049808502197,-8.4194917678833,-8.52080726623535,-8.39221572875977,-7.9929051399231,7.7416672706604
"42",46,1020,-7.7139458656311,-6.76513242721558,-6.3605809211731,-7.05642127990723,-7.80544519424438,-8.29101943969727,-8.50299835205078,-8.39144897460938,-7.96858596801758,7.7416672706604
"43",46,1080,-8.85065460205078,-8.05046844482422,-6.90955924987793,-7.1554594039917,-7.71668195724487,-8.17724609375,-8.47780609130859,-8.39016056060791,-7.94438028335571,7.7416672706604
"44",46,1140,-9.33413791656494,-8.73217678070068,-7.37487602233887,-7.33635902404785,-7.70062828063965,-8.09152507781982,-8.44775295257568,-8.38825511932373,-7.92028856277466,7.7416672706604
"45",46,1200,-9.97032642364502,-9.19749069213867,-7.7552227973938,-7.5380539894104,-7.73490762710571,-8.03832912445068,-8.41576862335205,-8.38568782806396,-7.89630794525146,7.7416672706604
"46",46,1260,-10.3239068984985,-9.58965492248535,-8.07747840881348,-7.73812484741211,-7.79968547821045,-8.01506900787354,-8.38447189331055,-8.38246822357178,-7.87243461608887,7.7416672706604
"47",46,1320,-10.6700191497803,-9.90422534942627,-8.35696697235107,-7.92956209182739,-7.88234281539917,-8.0163631439209,-8.35585784912109,-8.37864303588867,-7.84866666793823,7.7416672706604
"48",46,1380,-10.8887281417847,-10.1704769134521,-8.60194778442383,-8.11010837554932,-7.9751877784729,-8.03662014007568,-8.33126163482666,-8.3742847442627,-7.82500123977661,7.7416672706604
"49",74,0,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,7.7416672706604
"50",74,60,-4.69688272476196,-3.69271564483643,-1.76547634601593,-1.43849492073059,-1.38175332546234,-1.3742915391922,-1.37372124195099,-1.37365865707397,-1.35836219787598,7.7416672706604
"51",74,120,-4.79785633087158,-3.96060395240784,-2.13331246376038,-1.6044727563858,-1.42837989330292,-1.38199806213379,-1.37399327754974,-1.37349712848663,-1.34308803081512,7.7416672706604
"52",74,180,-4.87746715545654,-4.07441473007202,-2.38135766983032,-1.77898859977722,-1.50610411167145,-1.40401899814606,-1.37539315223694,-1.37324416637421,-1.32789027690887,7.7416672706604
"53",74,240,-4.86803245544434,-4.14882230758667,-2.56250405311584,-1.93548703193665,-1.59651470184326,-1.44035482406616,-1.37895858287811,-1.37293231487274,-1.31276845932007,7.7416672706604
"54",74,300,-4.84641218185425,-4.19485187530518,-2.7019739151001,-2.07117986679077,-1.68894279003143,-1.48732376098633,-1.38542652130127,-1.37260913848877,-1.29772186279297,7.7416672706604
"55",74,360,-5.13750314712524,-4.18659400939941,-2.81239891052246,-2.18817138671875,-1.77844846248627,-1.54085147380829,-1.39512801170349,-1.37233126163483,-1.28275036811829,7.7416672706604
"56",74,420,-4.53386211395264,-4.08671474456787,-2.88575530052185,-2.28733539581299,-1.86270308494568,-1.59762871265411,-1.40806126594543,-1.37215626239777,-1.26785361766815,7.7416672706604
"57",74,480,-3.40726280212402,-3.40109729766846,-2.85809183120728,-2.35636043548584,-1.9382141828537,-1.65497314929962,-1.42399501800537,-1.37213778495789,-1.25303184986115,7.7416672706604
"58",74,540,-1.4763468503952,-2.16198778152466,-2.63824081420898,-2.35894656181335,-1.99416208267212,-1.70936858654022,-1.44249534606934,-1.37232303619385,-1.23828530311584,7.7416672706604
"59",74,600,0.521877467632294,-0.605758786201477,-2.21879100799561,-2.26334047317505,-2.0134129524231,-1.75467145442963,-1.46280217170715,-1.37274646759033,-1.22361409664154,7.7416672706604
"60",74,660,2.21605324745178,0.757334351539612,-1.66591703891754,-2.06393241882324,-1.98180198669434,-1.7827308177948,-1.48366510868073,-1.37342476844788,-1.20901906490326,7.7416672706604
"61",74,720,3.54804730415344,1.95364713668823,-1.08349168300629,-1.78884851932526,-1.89637756347656,-1.78614735603333,-1.50334489345551,-1.37434697151184,-1.19450032711029,7.7416672706604
"62",74,780,4.33636331558228,2.73121619224548,-0.519191980361938,-1.46815478801727,-1.76430201530457,-1.76106417179108,-1.5198540687561,-1.37546861171722,-1.18005847930908,7.7416672706604
"63",74,840,3.95343399047852,2.84575653076172,-0.0810457393527031,-1.14385187625885,-1.59890532493591,-1.70762670040131,-1.53129541873932,-1.37671136856079,-1.16569340229034,7.7416672706604
"64",74,900,2.82570695877075,2.22297644615173,0.140557810664177,-0.869534552097321,-1.42185509204865,-1.63043522834778,-1.53618085384369,-1.37796807289124,-1.15140545368195,7.7416672706604
"65",74,960,0.975847899913788,1.00110983848572,0.101941980421543,-0.693012773990631,-1.25974762439728,-1.53868746757507,-1.53374898433685,-1.37911331653595,-1.13719367980957,7.7416672706604
"66",74,1020,-1.3827840089798,-0.614771544933319,-0.192261427640915,-0.644576072692871,-1.13799297809601,-1.44490158557892,-1.52420055866241,-1.38002038002014,-1.12305724620819,7.7416672706604
"67",74,1080,-2.8394775390625,-1.908034324646,-0.645674347877502,-0.727283537387848,-1.07525241374969,-1.36261880397797,-1.50875902175903,-1.38057816028595,-1.10899436473846,7.7416672706604
"68",74,1140,-3.32633233070374,-2.61868023872375,-1.08573746681213,-0.894366145133972,-1.07387971878052,-1.3030618429184,-1.48950695991516,-1.38070845603943,-1.09500396251678,7.7416672706604
"69",74,1200,-3.84964036941528,-3.03369832038879,-1.4415694475174,-1.08786952495575,-1.11882781982422,-1.27122569084167,-1.4689314365387,-1.38037598133087,-1.08108401298523,7.7416672706604
"70",74,1260,-3.98522877693176,-3.38281583786011,-1.73691558837891,-1.2795182466507,-1.19161629676819,-1.26561796665192,-1.449343085289,-1.37959086894989,-1.06723237037659,7.7416672706604
