"","JULDAY","TIME","D0cm","D1.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",15,0,-14.7834358215332,-13.4640665054321,-12.2958250045776,-11.0212144851685,-10.3828315734863,-10.2068910598755,-10.6024475097656,-10.8510074615479,-9.75348472595215,7.7416672706604
"2",15,60,-14.3831434249878,-13.7944183349609,-12.5775108337402,-11.3080310821533,-10.6008472442627,-10.3318662643433,-10.5863523483276,-10.8390121459961,-9.72873306274414,7.7416672706604
"3",15,120,-14.5358991622925,-13.9823093414307,-12.8208379745483,-11.5630874633789,-10.8064613342285,-10.4616823196411,-10.5813751220703,-10.8269548416138,-9.70406246185303,7.7416672706604
"4",15,180,-14.9963483810425,-14.0802145004272,-13.031665802002,-11.7904005050659,-10.9990606307983,-10.5925559997559,-10.5864543914795,-10.8150224685669,-9.67947292327881,7.7416672706604
"5",15,240,-14.7636070251465,-14.2696008682251,-13.2092561721802,-11.9935693740845,-11.1786108016968,-10.7219390869141,-10.6004323959351,-10.8033723831177,-9.65496444702148,7.7416672706604
"6",15,300,-14.8473052978516,-14.3792495727539,-13.3648614883423,-12.1754264831543,-11.3454637527466,-10.8481645584106,-10.6221170425415,-10.792142868042,-9.63053798675537,7.7416672706604
"7",15,360,-14.6048631668091,-14.5251426696777,-13.4978818893433,-12.3385848999023,-11.5001840591431,-10.9701738357544,-10.6503629684448,-10.7814416885376,-9.60619449615479,7.7416672706604
"8",15,420,-14.9616584777832,-14.5431137084961,-13.6162786483765,-12.4849414825439,-11.643443107605,-11.0873355865479,-10.6840963363647,-10.7713623046875,-9.58193492889404,7.7416672706604
"9",15,480,-14.0815896987915,-14.1058492660522,-13.6073398590088,-12.6037998199463,-11.774730682373,-11.1992349624634,-10.7223320007324,-10.7619743347168,-9.55776119232178,7.7416672706604
"10",15,540,-11.0676107406616,-12.1343965530396,-13.0654315948486,-12.6018438339233,-11.8772401809692,-11.3036584854126,-10.7641220092773,-10.7533340454102,-9.53367614746094,7.7416672706604
"11",15,600,-6.66519784927368,-8.93964099884033,-11.6427364349365,-12.2925004959106,-11.8941202163696,-11.3895130157471,-10.8081750869751,-10.7454719543457,-9.50968170166016,7.7416672706604
"12",15,660,-2.67942237854004,-5.50346994400024,-9.6046895980835,-11.5908575057983,-11.7534475326538,-11.4317941665649,-10.8519477844238,-10.7383918762207,-9.48577785491943,7.7416672706604
"13",15,720,0.239910423755646,-2.62515497207642,-7.43328237533569,-10.580174446106,-11.4239320755005,-11.4010076522827,-10.8910160064697,-10.7320337295532,-9.46196842193604,7.7416672706604
"14",15,780,1.37242197990417,-1.01906776428223,-5.58994722366333,-9.43727207183838,-10.9306077957153,-11.2782182693481,-10.9195375442505,-10.7262525558472,-9.43825435638428,7.7416672706604
"15",15,840,0.708078265190125,-1.18302822113037,-4.51637935638428,-8.38989639282227,-10.3453369140625,-11.0641212463379,-10.9316091537476,-10.7208013534546,-9.41463661193848,7.7416672706604
"16",15,900,-3.10575199127197,-2.96220684051514,-4.49952745437622,-7.66135263442993,-9.77104377746582,-10.7816581726074,-10.9229192733765,-10.7153511047363,-9.39111709594727,7.7416672706604
"17",15,960,-7.54251623153687,-6.15091943740845,-5.5612268447876,-7.41742181777954,-9.3178071975708,-10.472505569458,-10.8921489715576,-10.7095336914062,-9.3676929473877,7.7416672706604
"18",15,1020,-10.3136768341064,-8.95218467712402,-7.22030878067017,-7.67910671234131,-9.07090091705322,-10.1880474090576,-10.8417387008667,-10.70299243927,-9.34436225891113,7.7416672706604
"19",15,1080,-11.5789918899536,-10.4897899627686,-8.67399597167969,-8.23154640197754,-9.04101371765137,-9.97302532196045,-10.7776308059692,-10.6954584121704,-9.32112216949463,7.7416672706604
"20",15,1140,-12.3289813995361,-11.3723926544189,-9.69606304168701,-8.83077430725098,-9.16301727294922,-9.84707450866699,-10.7075910568237,-10.6867895126343,-9.29796886444092,7.7416672706604
"21",15,1200,-12.8775119781494,-12.0219478607178,-10.4501838684082,-9.37645816802979,-9.36258125305176,-9.80387592315674,-10.6389150619507,-10.6769742965698,-9.27489471435547,7.7416672706604
"22",15,1260,-12.9146976470947,-12.5995111465454,-11.038670539856,-9.85477924346924,-9.59399032592773,-9.82512378692627,-10.5770301818848,-10.6661128997803,-9.2519006729126,7.7416672706604
"23",15,1320,-13.6655406951904,-12.9389743804932,-11.5218667984009,-10.2724714279175,-9.83416938781738,-9.89178562164307,-10.5252771377563,-10.6543817520142,-9.22898197174072,7.7416672706604
"24",15,1380,-13.9518404006958,-13.2740907669067,-11.9213218688965,-10.6391716003418,-10.071834564209,-9.9883508682251,-10.4852981567383,-10.6419897079468,-9.20613574981689,7.7416672706604
"25",46,0,-11.9826755523682,-11.1706514358521,-9.49514770507812,-7.80017900466919,-6.95600938796997,-6.75713205337524,-7.4388279914856,-8.08027172088623,-7.25402593612671,7.7416672706604
"26",46,60,-12.1851949691772,-11.4338817596436,-9.85632705688477,-8.18677806854248,-7.26152610778809,-6.93837690353394,-7.4177041053772,-8.06317710876465,-7.23221397399902,7.7416672706604
"27",46,120,-12.345778465271,-11.6467618942261,-10.1586980819702,-8.52523899078369,-7.54545211791992,-7.12370300292969,-7.41253614425659,-8.04611682891846,-7.21045255661011,7.7416672706604
"28",46,180,-12.8164224624634,-11.7603912353516,-10.4163990020752,-8.82269859313965,-7.80785655975342,-7.30787658691406,-7.42158126831055,-8.02935695648193,-7.18874263763428,7.7416672706604
"29",46,240,-12.5777215957642,-11.9644374847412,-10.6314334869385,-9.08530521392822,-8.04951763153076,-7.48758411407471,-7.44298458099365,-8.01312065124512,-7.16708421707153,7.7416672706604
"30",46,300,-12.6599588394165,-12.0828714370728,-10.817494392395,-9.31787109375,-8.27162742614746,-7.66082334518433,-7.47491073608398,-7.99759483337402,-7.14548015594482,7.7416672706604
"31",46,360,-12.4085712432861,-12.2325048446655,-10.9746656417847,-9.52448749542236,-8.47555065155029,-7.82647466659546,-7.51562690734863,-7.98292446136475,-7.12393283843994,7.7416672706604
"32",46,420,-12.5467252731323,-12.1338539123535,-11.0862226486206,-9.7050199508667,-8.66233825683594,-7.98397636413574,-7.56354331970215,-7.96923065185547,-7.10244464874268,7.7416672706604
"33",46,480,-9.76174640655518,-10.6076774597168,-10.8069267272949,-9.81168079376221,-8.82643032073975,-8.13248252868652,-7.61721611022949,-7.95660161972046,-7.08101844787598,7.7416672706604
"34",46,540,-5.59286975860596,-7.27840709686279,-9.55805778503418,-9.6339168548584,-8.91957569122314,-8.26484489440918,-7.67512845993042,-7.94509887695312,-7.05965805053711,7.7416672706604
"35",46,600,-0.190945819020271,-3.28314542770386,-7.41645860671997,-9.01077365875244,-8.85503959655762,-8.35732078552246,-7.73476982116699,-7.9347505569458,-7.03836679458618,7.7416672706604
"36",46,660,4.1203351020813,0.632982075214386,-4.82293605804443,-7.95595073699951,-8.57176494598389,-8.37489604949951,-7.79155302047729,-7.92552137374878,-7.01714706420898,7.7416672706604
"37",46,720,6.99585199356079,3.59258627891541,-2.29559397697449,-6.62113952636719,-8.0673246383667,-8.28754615783691,-7.83881235122681,-7.91728019714355,-6.99600315093994,7.7416672706604
"38",46,780,8.51648426055908,5.2122368812561,-0.262057036161423,-5.22424936294556,-7.39598274230957,-8.08358192443848,-7.86898851394653,-7.90977334976196,-6.97493696212769,7.7416672706604
"39",46,840,6.8235125541687,5.23448419570923,0.944524049758911,-3.97831201553345,-6.64650058746338,-7.77433061599731,-7.87539100646973,-7.9026255607605,-6.95394992828369,7.7416672706604
"40",46,900,3.40189337730408,3.28366565704346,1.02342569828033,-3.10128164291382,-5.92699956893921,-7.39180278778076,-7.85379219055176,-7.89537763595581,-6.93304252624512,7.7416672706604
"41",46,960,-1.34908902645111,-0.222765624523163,-0.0731945410370827,-2.76065373420715,-5.3520770072937,-6.98466777801514,-7.80359315872192,-7.88753604888916,-6.91221237182617,7.7416672706604
"42",46,1020,-6.5105128288269,-4.28389263153076,-2.09216785430908,-3.01437544822693,-5.01551151275635,-6.610276222229,-7.72840452194214,-7.8786473274231,-6.89145803451538,7.7416672706604
"43",46,1080,-8.71326732635498,-6.97762823104858,-4.28099536895752,-3.74436664581299,-4.95871257781982,-6.32218837738037,-7.63577079772949,-7.86836528778076,-6.87077331542969,7.7416672706604
"44",46,1140,-9.74035549163818,-8.35090446472168,-5.86769199371338,-4.61962652206421,-5.13103532791138,-6.15278768539429,-7.53577709197998,-7.85650587081909,-6.85015439987183,7.7416672706604
"45",46,1200,-10.489387512207,-9.22884273529053,-6.98230981826782,-5.43042373657227,-5.42852735519409,-6.10048246383667,-7.43850374221802,-7.84307098388672,-6.82959413528442,7.7416672706604
"46",46,1260,-10.9684152603149,-9.89499378204346,-7.81505393981934,-6.13111400604248,-5.77466344833374,-6.141526222229,-7.35174894332886,-7.82821798324585,-6.80908870697021,7.7416672706604
"47",46,1320,-11.3791236877441,-10.4057416915894,-8.46835803985596,-6.73015928268433,-6.12972640991211,-6.24781608581543,-7.2803258895874,-7.81221008300781,-6.78863286972046,7.7416672706604
"48",46,1380,-11.403938293457,-10.8655319213867,-8.99414253234863,-7.24475193023682,-6.47544384002686,-6.39563179016113,-7.22648191452026,-7.79536390304565,-6.76822376251221,7.7416672706604
"49",74,0,-4.88355588912964,-4.07735967636108,-2.31306099891663,-0.0212432090193033,-0.0965299233794212,-0.194932192564011,-0.397463023662567,-0.941479384899139,-0.695948123931885,7.7416672706604
"50",74,60,-5.01111268997192,-4.21011114120483,-2.42531061172485,-0.0502990037202835,-0.0969830304384232,-0.194956958293915,-0.397597789764404,-0.929979622364044,-0.682574391365051,7.7416672706604
"51",74,120,-5.10543060302734,-4.30748987197876,-2.51034808158875,-0.0798350870609283,-0.0977786034345627,-0.194987028837204,-0.397720634937286,-0.918674051761627,-0.669229805469513,7.7416672706604
"52",74,180,-4.62199020385742,-4.47818326950073,-2.57290983200073,-0.10957396030426,-0.0989124327898026,-0.195024996995926,-0.39783176779747,-0.907557725906372,-0.655914783477783,7.7416672706604
"53",74,240,-5.22683095932007,-4.43615484237671,-2.62938332557678,-0.139318540692329,-0.100377686321735,-0.195073425769806,-0.397931516170502,-0.896625757217407,-0.642630100250244,7.7416672706604
"54",74,300,-5.26447200775146,-4.47778606414795,-2.67217016220093,-0.168939560651779,-0.102165758609772,-0.195134788751602,-0.398020088672638,-0.885874092578888,-0.62937593460083,7.7416672706604
"55",74,360,-4.66931200027466,-4.56023645401001,-2.69390535354614,-0.198305562138557,-0.104266844689846,-0.195211470127106,-0.39809775352478,-0.875298023223877,-0.616152405738831,7.7416672706604
"56",74,420,-3.62099671363831,-3.57453465461731,-2.50782608985901,-0.226473316550255,-0.106667183339596,-0.195305675268173,-0.398164749145508,-0.864893198013306,-0.602960407733917,7.7416672706604
"57",74,480,0.319815278053284,-0.947726964950562,-1.6175274848938,-0.247982487082481,-0.10931820422411,-0.195419460535049,-0.398221254348755,-0.854655206203461,-0.589800179004669,7.7416672706604
"58",74,540,5.44611406326294,2.90143370628357,0.146478623151779,-0.25285878777504,-0.112075626850128,-0.195554032921791,-0.398267537355423,-0.844579994678497,-0.5766721367836,7.7416672706604
"59",74,600,10.1768646240234,6.99217510223389,2.39110732078552,-0.233115538954735,-0.114683590829372,-0.195708990097046,-0.398303866386414,-0.83466362953186,-0.563576638698578,7.7416672706604
"60",74,660,14.2329082489014,10.6366519927979,4.65717744827271,-0.186488807201385,-0.116830162703991,-0.195881605148315,-0.398330450057983,-0.824902236461639,-0.550514161586761,7.7416672706604
