  JULDAY,    TIME,   TALOC,   TAREF,   RHLOC,      RH,    VLOC,    VREF,      TS,      T2,   TDEEP,     ZEN,    SOLR,   TSKYC,     DEW,   FROST,SNOWFALL, SNOWDEP
<<<<<<< HEAD
 15.,   0.00,-12.59,-13.42, 69.66, 75.10,  1.076,  4.900,-11.07,-11.07,  7.74, 90.00,   0.00, -21.25,0.,0.,-208.76,-208.76
 15.,  60.00,-13.51,-13.58, 77.95, 78.43,  1.077,  4.908,-13.38,-12.65,  7.74, 90.00,   0.00, -21.40,0.,0.,   0.00,   0.00
 15., 120.00,-13.66,-13.71, 81.38, 81.76,  1.079,  4.916,-13.56,-12.92,  7.74, 90.00,   0.00, -21.51,0.,0.,   0.00,   0.00
 15., 180.00,-13.76,-13.82, 84.68, 85.09,  1.081,  4.924,-13.67,-13.08,  7.74, 90.00,   0.00, -21.61,0.,0.,   0.00,   0.00
 15., 240.00,-13.88,-13.90, 88.19, 88.42,  1.082,  4.931,-13.82,-13.19,  7.74, 90.00,   0.00, -21.68,0.,0.,   0.00,   0.00
 15., 300.00,-13.94,-13.98, 91.42, 91.75,  1.084,  4.939,-13.86,-13.30,  7.74, 90.00,   0.00, -21.74,0.,0.,   0.00,   0.00
 15., 360.00,-13.99,-14.04, 94.72, 95.08,  1.086,  4.949,-13.92,-13.38,  7.74, 90.00,   0.00, -21.79,0.,0.,   0.00,   0.00
 15., 420.00,-14.10,-14.08, 99.36, 99.25,  1.087,  4.953,-14.12,-13.44,  7.74, 90.00,   0.35, -21.82,0.,0.,   0.00,   0.00
 15., 480.00,-13.80,-13.84, 98.82, 99.25,  1.084,  4.936,-13.71,-13.34,  7.74, 84.65,  34.54, -21.58,0.,0.,   0.00,   0.00
 15., 540.00,-11.97,-11.95, 89.71, 89.61,  1.080,  4.919,-11.99,-12.38,  7.74, 76.45, 116.52, -19.73,0.,0.,   0.00,   0.00
 15., 600.00, -9.19, -9.13, 77.13, 76.72,  1.076,  4.902, -9.30,-10.59,  7.74, 69.97, 195.11, -16.97,0.,0.,   0.00,   0.00
 15., 660.00, -6.32, -6.20, 51.47, 50.95,  1.072,  4.885, -6.53, -8.50,  7.74, 65.76, 244.91, -14.19,0.,0.,   0.00,   0.00
 15., 720.00, -4.15, -4.01, 51.55, 50.95,  1.065,  4.851, -4.40, -6.66,  7.74, 64.30, 263.18, -12.01,0.,0.,   0.00,   0.00
 15., 780.00, -3.30, -3.20, 53.41, 52.96,  1.065,  4.851, -3.48, -5.58,  7.74, 65.76, 244.82, -11.19,0.,0.,   0.00,   0.00
 15., 840.00, -4.07, -4.01, 55.26, 54.98,  1.066,  4.855, -4.18, -5.55,  7.74, 69.97, 195.95, -11.98,0.,0.,   0.00,   0.00
 15., 900.00, -6.15, -6.20, 56.77, 56.99,  1.067,  4.860, -6.07, -6.61,  7.74, 76.45, 117.27, -14.15,0.,0.,   0.00,   0.00
 15., 960.00, -9.14, -9.13, 59.03, 59.00,  1.068,  4.864, -9.15, -8.39,  7.74, 84.65,  34.83, -17.06,0.,0.,   0.00,   0.00
 15.,1020.00,-10.61,-10.68, 60.65, 61.01,  1.069,  4.869,-10.49, -9.90,  7.74, 90.00,   0.35, -18.60,0.,0.,   0.00,   0.00
 15.,1080.00,-11.07,-11.34, 61.51, 63.03,  1.070,  4.873,-10.57,-10.76,  7.74, 90.00,   0.00, -19.24,0.,0.,   0.00,   0.00
 15.,1140.00,-11.84,-11.88, 64.79, 65.04,  1.071,  4.878,-11.76,-11.19,  7.74, 90.00,   0.00, -19.77,0.,0.,   0.00,   0.00
 15.,1200.00,-12.28,-12.32, 66.79, 67.05,  1.072,  4.882,-12.20,-11.60,  7.74, 90.00,   0.00, -20.20,0.,0.,   0.00,   0.00
 15.,1260.00,-12.63,-12.68, 68.77, 69.06,  1.073,  4.887,-12.55,-11.94,  7.74, 90.00,   0.00, -20.55,0.,0.,   0.00,   0.00
 15.,1320.00,-12.88,-12.98, 70.45, 71.08,  1.074,  4.891,-12.70,-12.24,  7.74, 90.00,   0.00, -20.83,0.,0.,   0.00,   0.00
 15.,1380.00,-13.17,-13.22, 72.77, 73.09,  1.075,  4.896,-13.08,-12.47,  7.74, 90.00,   0.00, -21.06,0.,0.,   0.00,   0.00
 46.,   0.00,-10.28,-11.32, 67.64, 74.20,  1.054,  4.800, -8.40, -8.40,  7.74, 90.00,   0.00, -19.24,0.,0.,-478.15,   0.00
 46.,  60.00,-11.38,-11.48, 77.40, 78.06,  1.056,  4.809,-11.21,-10.33,  7.74, 90.00,   0.00, -19.37,0.,0.,   0.00,   0.00
 46., 120.00,-11.53,-11.60, 81.39, 81.92,  1.057,  4.817,-11.40,-10.64,  7.74, 90.00,   0.00, -19.48,0.,0.,   0.00,   0.00
 46., 180.00,-11.63,-11.70, 85.25, 85.78,  1.059,  4.826,-11.51,-10.81,  7.74, 90.00,   0.00, -19.56,0.,0.,   0.00,   0.00
 46., 240.00,-11.73,-11.78, 89.20, 89.64,  1.061,  4.835,-11.63,-10.93,  7.74, 90.00,   0.00, -19.63,0.,0.,   0.00,   0.00
 46., 300.00,-11.79,-11.85, 93.04, 93.49,  1.064,  4.848,-11.69,-11.04,  7.74, 90.00,   0.00, -19.68,0.,0.,   0.00,   0.00
 46., 360.00,-11.84,-11.90, 98.77, 99.26,  1.066,  4.855,-11.74,-11.12,  7.74, 90.00,   0.00, -19.71,0.,0.,   0.00,   0.00
 46., 420.00,-11.84,-11.92, 98.54, 99.26,  1.063,  4.841,-11.69,-11.18,  7.74, 87.87,  10.14, -19.73,0.,0.,   0.00,   0.00
