 JULDAY,   TIME,   DEP1,   DEP2,   DEP3,   DEP4,   DEP5,   DEP6,   DEP7,   DEP8,   DEP9,  DEP10
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
 15.,   0.00, -11.07, -11.07, -11.07, -11.07, -11.07, -11.07,    NaN, -11.07, -11.07,   7.74
